task_id,mode,task_type,difficulty,task_completed,tool_success,code_success,accuracy,experience_hit,error_recovered,response_time,has_error
1,ace,query,简单,True,True,True,True,False,False,9.49,False
2,ace,search,简单,True,True,True,True,True,False,7.35,False
3,ace,query+map,中等,True,True,True,True,False,False,8.62,False
4,ace,query+map,中等,True,True,True,True,True,False,16.07,False
5,ace,nearby,中等,True,True,True,False,True,True,28.42,False
6,ace,nearby,中等,True,True,True,True,False,False,5.47,False
7,ace,cluster,中等,True,True,True,True,True,True,17.77,False
8,ace,query+map,中等,True,False,True,False,False,True,31.28,False
9,ace,query,简单,True,True,True,True,True,False,7.74,False
10,ace,overlay,较难,True,True,True,True,False,False,18.54,False
11,ace,cluster,较难,True,True,True,True,True,False,6.22,False
12,ace,export,简单,True,True,True,True,True,False,4.3,False
13,ace,feedback,中等,True,True,True,True,False,False,1.66,False
14,ace,memory,中等,True,True,True,True,False,False,11.23,False
15,ace,help,简单,True,True,True,True,False,False,5.03,False
