task_id,mode,task_type,difficulty,task_completed,tool_success,code_success,accuracy,experience_hit,error_recovered,response_time,has_error
1,base,query,简单,True,False,True,True,False,False,4.05,False
2,base,search,简单,True,True,True,True,False,False,2.24,False
3,base,query+map,中等,True,True,True,False,False,False,1.97,False
4,base,query+map,中等,True,True,True,False,False,False,1.71,False
5,base,nearby,中等,True,True,True,True,False,False,1.83,False
6,base,nearby,中等,True,True,True,False,False,False,1.6,False
7,base,cluster,中等,True,True,True,False,False,False,1.7,False
8,base,query+map,中等,True,True,True,True,False,False,1.95,False
9,base,query,简单,True,True,True,True,False,False,2.07,False
10,base,overlay,较难,True,True,True,False,False,False,1.9,False
11,base,cluster,较难,True,True,True,False,False,False,2.02,False
12,base,export,简单,True,True,True,False,False,False,1.62,False
13,base,feedback,中等,True,True,True,True,False,False,3.8,False
14,base,memory,中等,True,True,True,True,False,False,1.97,False
15,base,help,简单,True,True,True,True,False,False,10.32,False
